,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
357,1,1.0,1090000,35000,1,0.0,2020,1.0
358,1,9.0,300000,135000,2,0.0,2013,8.0
359,1,1.0,450000,115000,2,0.0,2012,5.0
360,0,1.0,357999,50488,1,2.0,2015,4.0
361,0,1.0,462599,12916,1,1.0,2018,1.0
362,0,1.0,695199,30731,1,1.0,2016,2.0
363,0,1.0,490399,8825,1,2.0,2019,1.0
364,0,1.0,340099,21627,1,3.0,2016,6.0
365,0,1.0,997899,5580,1,2.0,2020,1.0
366,0,1.0,351599,41371,1,1.0,2013,2.0
367,0,1.0,603799,42313,1,1.0,2016,1.0
368,0,1.0,599799,74913,1,2.0,2016,2.0
369,0,1.0,456099,74760,1,2.0,2018,1.0
370,0,1.0,993699,34045,2,2.0,2019,4.0
371,0,1.0,312299,143147,1,2.0,2010,1.0
372,0,1.0,1221799,28149,1,1.0,2019,2.0
373,0,1.0,522999,38049,1,2.0,2015,1.0
374,0,1.0,323399,78895,1,2.0,2014,2.0
375,0,1.0,510799,27027,1,2.0,2015,2.0
376,1,1.0,750000,66000,2,0.0,2013,7.0
377,1,1.0,155000,82000,1,0.0,2005,2.0
378,1,1.0,350000,57000,1,0.0,2011,1.0
379,1,1.0,410000,71000,2,0.0,2014,3.0
380,1,1.0,275000,47000,3,0.0,2014,2.0
381,1,1.0,465000,37000,1,0.0,2017,2.0
382,1,1.0,145000,73000,1,0.0,2007,1.0
383,1,1.0,165000,82650,1,0.0,2007,2.0
384,0,1.0,910799,23940,1,2.0,2020,1.0
385,0,1.0,722899,26678,1,2.0,2018,6.0
386,0,1.0,809499,41342,2,2.0,2018,3.0
387,0,1.0,297399,59614,1,1.0,2013,1.0
388,0,1.0,411999,39550,1,2.0,2016,1.0
389,0,1.0,623399,28621,1,1.0,2019,6.0
390,0,1.0,372399,60437,1,1.0,2013,3.0
391,0,1.0,518099,26598,1,2.0,2018,1.0
392,0,1.0,485599,62723,1,2.0,2015,3.0
393,0,1.0,636899,21145,1,2.0,2017,1.0
394,0,1.0,396999,48699,1,1.0,2013,2.0
395,0,1.0,980399,10102,1,2.0,2019,4.0
396,0,1.0,658999,34881,1,1.0,2017,1.0
397,0,1.0,304099,53997,1,2.0,2015,2.0
398,0,1.0,362599,49076,1,1.0,2015,1.0
399,0,1.0,344199,65951,1,2.0,2014,1.0
400,1,1.0,215000,116000,1,0.0,2007,1.0
401,1,1.0,550000,136000,2,1.0,2015,14.0
402,1,1.0,550000,85000,2,0.0,2013,6.0
403,1,1.0,89000,85000,1,0.0,2002,2.0
404,1,1.0,79000,85000,1,0.0,2001,1.0
405,1,1.0,67000,63000,1,0.0,2007,25.0
406,1,1.0,59000,73000,1,0.0,2009,4.0
407,1,1.0,69000,85000,1,0.0,2007,1.0
408,0,1.0,462399,15032,1,1.0,2017,1.0
409,0,1.0,319999,15575,1,2.0,2017,1.0
410,0,1.0,275699,147819,2,3.0,2010,1.0
411,0,1.0,501599,35203,1,2.0,2016,2.0
412,0,1.0,506599,7597,1,1.0,2020,1.0
413,0,1.0,1198599,34883,2,1.0,2018,7.0
414,0,1.0,775499,59580,2,2.0,2017,4.0
415,0,1.0,338999,49647,1,2.0,2011,1.0
416,0,1.0,652699,67577,1,2.0,2016,2.0
417,0,1.0,535899,10890,1,1.0,2017,5.0
418,0,1.0,492099,57444,1,1.0,2015,1.0
419,0,1.0,885999,33598,1,2.0,2017,3.0
420,0,1.0,694899,17804,1,2.0,2018,4.0
421,0,1.0,450599,62613,1,2.0,2013,1.0
422,0,1.0,377999,56974,1,2.0,2010,2.0
423,0,1.0,491499,1405,1,1.0,2021,17.0
424,1,1.0,89000,85000,1,0.0,2008,1.0
425,1,1.0,1865000,8000,1,0.0,2020,2.0
426,1,6.0,235000,29000,1,0.0,2014,17.0
427,1,1.0,1025000,22000,2,0.0,2020,7.0
428,1,1.0,450000,118000,1,0.0,2014,10.0
429,1,17.0,1575000,23000,2,0.0,2020,2.0
